Product Name,Veg/Non-Veg,Description,Cost,Rating
Matar Mushroom Combo,Veg Item,"A delightful combination of tender green peas and savory mushrooms, creating a delectable vegetarian combo. Swipe right to add item to cart.",260,3.1
Jeera Rice,Veg Item,Deliciously seasoned rice sauteed with aromatic and flavorful spices. This item is customizable. Swipe right to add item to cart.,110,2.2
Samosa 6 [6 Pieces],Veg Item,"Flavorful and satisfying, these crispy and golden pastry pockets are packed with a delectable filling that is perfect for starting your meal on a delightful note. Swipe right to add item to cart.",120,2.4
Vegetarian munchurian,Veg Item,A delectable and flavorful vegetarian delight perfect for starting your meal with a burst of savory flavors. This item is customizable. Swipe right to add item to cart.,199,3.2
Bread Pakoda 2 [2 Pieces],Veg Item,Crisp and flavorful bread pakodas perfect for a delectable start to your meal. Swipe right to add item to cart.,99,2.5
Tomato soup,Veg Item,A comforting and flavorful soup bursting with the natural sweetness of tomatoes. Swipe right to add item to cart.,99,2.1
Potato Sandwich,Veg Item,A delightful and satisfying veg sandwich packed with a mouthwatering filling. Swipe right to add item to cart.,70,2.1
Paneer Korma,Veg Item,A creamy and flavorful Indian specialty featuring a succulent paneer in a rich and aromatic curry sauce. This item is customizable. Swipe right to add item to cart.,220,3.2
Aloo Sbazi,Veg Item,Aloo Sbazi is a delectable vegetarian main course that will leave you craving for more with its tantalizing flavors. This item is customizable. Swipe right to add item to cart.,110,2.9
Matar Paneer,Veg Item,"A flavorful and comforting Indian delicacy filled with soft, creamy paneer cheese and tender green peas. This item is customizable. Swipe right to add item to cart.",180,2.1
Fried Rice with Paneer Chilli,Veg Item,"A delectable combination of flavorful fried rice and tender paneer, perfect for a satisfying vegetarian feast. Swipe right to add item to cart.",260,3.0
Fried Rice with Veg Manchurian,Veg Item,"A satisfying combo of savory fried rice and delectable Veg Manchurian, perfect for a hearty and flavorful meal. Swipe right to add item to cart.",250,3.2
