Product Name,Veg/Non-Veg,Description,Cost,Rating
Masala Dosa,Veg Item,"Crispy golden crepe filled with flavorful potato and onion filling, a South Indian classic. This item is customizable. Swipe right to add item to cart.",165,3.8
Butter Masala Dosa,Veg Item,"A delectable South Indian specialty that combines the richness of butter with heavenly flavors, creating a mouthwatering delight. This item is customizable. Swipe right to add item to cart.",180,3.0
Plain Dosa,Veg Item,"A classic South Indian favorite, this crispy golden dosa is a must-try for anyone craving authentic flavors. This item is customizable. Swipe right to add item to cart.",110,3.9
Butter Plain Dosa,Veg Item,"A classic South Indian delight, this veg dish features a smooth, buttery flavor that will surely satisfy your cravings. This item is customizable. Swipe right to add item to cart.",130,NA
Paneer Dosa,Veg Item,Fresh and fluffy cottage cheese with spices and vegetable This item is customizable. Swipe right to add item to cart.,190,3.5
Butter Paneer Dosa,Veg Item,A delectable South Indian delicacy featuring a savory butter paneer filling enveloped in a crispy dosa. This item is customizable. Swipe right to add item to cart.,210,NA
Masala Dosa,Veg Item,"Crispy golden crepe filled with flavorful potato and onion filling, a South Indian classic. This item is customizable. Swipe right to add item to cart.",165,3.8
Butter Masala Dosa,Veg Item,"A delectable South Indian specialty that combines the richness of butter with heavenly flavors, creating a mouthwatering delight. This item is customizable. Swipe right to add item to cart.",180,3.0
Plain Dosa,Veg Item,"A classic South Indian favorite, this crispy golden dosa is a must-try for anyone craving authentic flavors. This item is customizable. Swipe right to add item to cart.",110,3.9
Butter Plain Dosa,Veg Item,"A classic South Indian delight, this veg dish features a smooth, buttery flavor that will surely satisfy your cravings. This item is customizable. Swipe right to add item to cart.",130,NA
Paneer Dosa,Veg Item,Fresh and fluffy cottage cheese with spices and vegetable This item is customizable. Swipe right to add item to cart.,190,3.5
Butter Paneer Dosa,Veg Item,A delectable South Indian delicacy featuring a savory butter paneer filling enveloped in a crispy dosa. This item is customizable. Swipe right to add item to cart.,210,NA
Rava Plain Dosa,Veg Item,A classic and mouthwatering South Indian delicacy that exudes a delectable aroma and tantalizing flavor. This item is customizable. Swipe right to add item to cart.,125,3.6
Rava Masala Dosa,Veg Item,"A delectable and aromatic South Indian specialty with a crispy golden-brown exterior and a flavorful filling, perfect for a satisfying vegetarian meal. This item is customizable. Swipe right to add item to cart.",170,2.8
Idli Fry,Veg Item,"Crispy on the outside, soft on the inside - a flavorful twist on a South Indian classic. This item is customizable. Swipe right to add item to cart.",115,3.9
Madras Special Masala Dosa,Veg Item,A flavorful South Indian crepe filled with a delicious blend of aromatic masala potatoes. This item is customizable. Swipe right to add item to cart.,190,3.8
Rava Paneer Dosa,Veg Item,Crispy dosa filled with flavorful paneer and semolina - a South Indian delight! This item is customizable. Swipe right to add item to cart.,190,2.5
Idly Chilli,Veg Item,A scrumptious South Indian specialty with a unique blend of flavors and textures that will leave you craving for more. This item is customizable. Swipe right to add item to cart.,155,NA
Rava Butter paneer Dosa,Veg Item,"A delectable South Indian creation featuring crispy dosa filled with creamy butter paneer, perfect for a flavorful meal any time of day. This item is customizable. Swipe right to add item to cart.",215,NA
Curd Rice,Veg Item,"A comforting, creamy delight combining the rich flavors of South India. This item is customizable. Swipe right to add item to cart.",135,4.0
Onion Plain Dosa,Veg Item,A flavorful South Indian delicacy featuring a crisp dosa filled with the perfect balance of onions and traditional spices. Swipe right to add item to cart.,120,NA
Onion Masala Dosa,Veg Item,"A savory and flavorful delight from South India, the Onion Masala Dosa will entice your taste buds with its irresistible taste. This item is customizable. Swipe right to add item to cart.",175,2.7
Tomato Uttapam,Veg Item,"A delightful South Indian specialty featuring a flavorful medley of tangy tomatoes and soft, pancake-like texture. This item is customizable. Swipe right to add item to cart.",145,NA
Mix Uttapam,Veg Item,"A delectable South Indian delicacy bursting with layers of flavors, the Mix Uttapam is a delightful and satisfying veg dish. This item is customizable. Swipe right to add item to cart.",175,3.8
Paneer Uttappam,Veg Item,"A delectable South Indian delight, Paneer Uttappam is a savory vegetarian dish that is bursting with flavors. This item is customizable. Swipe right to add item to cart.",180,3.8
Upma,Veg Item,"A flavorsome South Indian specialty that satisfies with its rich, aromatic blend of vegetarian ingredients. This item is customizable. Swipe right to add item to cart.",120,4.5
Rava Butter Masala Dosa,Veg Item,"Crispy South Indian delight with a delectable blend of semolina, butter, and rich masala flavors. This item is customizable. Swipe right to add item to cart.",200,NA
Lemon Rice,Veg Item,A tangy and fragrant South Indian specialty that brings together the refreshing flavors of lemon and rice in a delightful vegetarian dish. This item is customizable. Swipe right to add item to cart.,135,4.3
Onion Uttapam,Veg Item,"A delightful South Indian specialty, Onion Uttapam is a savory and delectable veg dish that will tantalize your taste buds. This item is customizable. Swipe right to add item to cart.",155,3.8
Idli Sambar (2pcs),Veg Item,Soft and fluffy steamed rice cakes served with a flavorful lentil soup - a classic South Indian favorite! This item is customizable. Swipe right to add item to cart.,95,3.8
Rava Idli (2 pcs),Veg Item,Soft and fluffy steamed semolina cakes filled with flavors of South India. This item is customizable. Swipe right to add item to cart.,130,4.0
Veg CHOWMIEN,Veg Item,"A delectable Chinese delight that combines a medley of vegetables in a flavorful, aromatic sauce. This item is customizable. Swipe right to add item to cart.",140,4.2
Chilli Potato,Veg Item,"Savor the tantalizing Chinese creation, bursting with flavors and textures, bringing together a delightful blend of fried potatoes and a zesty, tangy sauce. This item is customizable. Swipe right to add item to cart.",150,3.5
Honey Chilli Potato,Veg Item,A delectable Chinese dish featuring crispy potatoes in a sweet and savory honey glaze. Swipe right to add item to cart.,170,4.4
French Fry,Veg Item,"Crispy and delectable, this Chinese-inspired French Fry dish will tempt your taste buds with its irresistible flavor. This item is customizable. Swipe right to add item to cart.",130,NA
Fried Paneer Momos,Veg Item,"Crispy and flavorful, these golden-fried Chinese delights are filled with delectable, melt-in-your-mouth paneer. This item is customizable. Swipe right to add item to cart.",100,NA
Paneer Chaumein,Veg Item,A flavorsome Chinese-inspired delight that pays homage to the delectable combination of paneer and fine noodles. This item is customizable. Swipe right to add item to cart.,180,NA
Veg,Veg Item,A flavorful and aromatic stir-fried rice dish filled with assorted vegetables and traditional Chinese flavors. This item is customizable. Swipe right to add item to cart.,140,3.5
Paneer Fried Rice,Veg Item,"A delectable Chinese-inspired dish with fragrant rice and succulent paneer, showcasing a wondrous fusion of flavors. This item is customizable. Swipe right to add item to cart.",180,3.3
Veg Manchurian,Veg Item,"Tender vegetable balls in a flavorful Chinese sauce, a delightful blend of savory and sweet. This item is customizable. Swipe right to add item to cart.",160,4.8
Paneer Manchurian,Veg Item,"A flavorful and aromatic Chinese delight with a hint of tanginess, perfect for vegetarians and paneer lovers alike. This item is customizable. Swipe right to add item to cart.",190,4.5
Paneer Chilli,Veg Item,"A delectable Chinese delight featuring soft and succulent paneer, bursting with vibrant flavors and tantalizing textures. This item is customizable. Swipe right to add item to cart.",190,NA
Veg Momos,Veg Item,Delight in these flavorful Chinese dumplings filled with a medley of vegetables. This item is customizable. Swipe right to add item to cart.,110,4.2
Paneer Momos,Veg Item,Enjoy these delectable and flavorful dumplings stuffed with a creamy and rich paneer filling. This item is customizable. Swipe right to add item to cart.,145,NA
Fried Veg Momos,Veg Item,"Crispy, flavorful Chinese dumplings filled with a delightful medley of vegetables. This item is customizable. Swipe right to add item to cart.",115,NA
Chola bhatura,Veg Item,"A delectable North Indian delicacy that delights with its flavors and textures, Chola Bhatura is a popular vegetarian dish that offers a symphony of taste. This item is customizable. Swipe right to add item to cart.",130,3.3
Dal fry,Veg Item,"A comforting and aromatic lentil dish from the heart of North India, bursting with rich flavors and a delightful texture. Swipe right to add item to cart.",115,NA
Dry veg,Veg Item,A flavorful and aromatic North Indian delicacy showcasing an exquisite blend of vegetables. Swipe right to add item to cart.,100,NA
Paneer sabji,Veg Item,A delectable and aromatic North Indian delight showcasing the flavors of succulent paneer and fresh vegetables. Swipe right to add item to cart.,145,NA
Pav bhaji,Veg Item,A flavorful blend of mashed vegetables served with buttery toasted bread rolls. This item is customizable. Swipe right to add item to cart.,175,3.6
Veg burger,Veg Item,A flavorful and satisfying burger filled with a delightful blend of North Indian vegetarian ingredients. Swipe right to add item to cart.,90,NA
Cheese Veg burger,Veg Item,"Indulge in the savory flavors of our North Indian cheese veg burger, a delectable culinary creation sure to impress your taste buds. Swipe right to add item to cart.",120,NA
Paneer burger,Veg Item,"A tantalizing combination of flavors and textures, this North Indian delight showcases a delectable paneer patty nestled between fluffy buns. Swipe right to add item to cart.",145,NA
Chole Rice,Veg Item,A scrumptious combination of tender chickpeas in a flavorful North Indian delicacy served with fluffy rice. Swipe right to add item to cart.,145,NA
Paneer pizza,Veg Item,"A delectable pizza featuring flavorful paneer, a delightful choice for vegetarians craving a scrumptious meal. Swipe right to add item to cart.",200,NA
Onion tomato pizza,Veg Item,"A delectable medley of tangy tomatoes and sweet onions atop a perfectly baked crust, this pizza is a savory delight for vegetable lovers. Swipe right to add item to cart.",200,NA
Tomato capsicum pizza,Veg Item,"A delectable combination of ripe tomatoes, vibrant capsicum and cheesy goodness, this veggie pizza is a taste sensation for all pizza lovers. Swipe right to add item to cart.",200,NA
Mix veg pizza,Veg Item,"A delightful medley of fresh vegetables and exquisite flavors, layered atop a crispy crust. Swipe right to add item to cart.",225,5.0
Idli Sambar (2pcs),Veg Item,Soft and fluffy steamed rice cakes served with a flavorful lentil soup - a classic South Indian favorite! Swipe right to add item to cart.,70,3.8
Masala Dosa,Veg Item,"Crispy golden crepe filled with flavorful potato and onion filling, a South Indian classic. Swipe right to add item to cart.",165,NA
Paneer Dosa,Veg Item,Fresh and fluffy cottage cheese with spices and vegetable Swipe right to add item to cart.,190,NA
Madras Special Masala Dosa,Veg Item,A flavorful South Indian crepe filled with a delicious blend of aromatic masala potatoes. Swipe right to add item to cart.,140,NA
Onion Uttapam,Veg Item,A mouthwatering Indian breakfast delight showcasing a savory pancake topped with caramelized onions and bursting with flavor. Swipe right to add item to cart.,115,NA
Rava Idli (2 pcs),Veg Item,Soft and fluffy steamed semolina cakes filled with flavors of South India. Swipe right to add item to cart.,100,NA
Paneer Fried Rice,Veg Item,"A flavorful and satisfying blend of aromatic paneer and stir-fried rice, perfect to fuel your mornings with a burst of deliciousness. Swipe right to add item to cart.",140,3.3
Rava Butter Masala Dosa,Veg Item,"A fragrant and flavorful Indian breakfast favorite filled with a delicious medley of seasoned semolina, butter, and diced vegetables. Swipe right to add item to cart.",160,NA
Paneer Manchurian,Veg Item,A mouthwatering vegetarian delight that combines rich flavors in an enticing symphony of taste. Swipe right to add item to cart.,160,NA
South indian thali,Veg Item,Rice/2 Roti/Dry Veg/Paneer Sabji/sambhar/Rasam/Dahi/ Papad/Achar/gulab jamun This item is customizable. Swipe right to add item to cart.,300,4.2
North indian thali,Veg Item,(Rise/2Roti/Dal Fry/Dry Sabji Paneer Sabji/Salad This item is customizable. Swipe right to add item to cart.,225,4.3
Rice [per plate],Veg Item,"Fluffy and flavorful, this veggie accompaniment is the perfect pairing for any main course. Swipe right to add item to cart.",90,NA
Papad,Veg Item,Crispy and flavorful accompaniment perfect for adding crunch to any meal! Swipe right to add item to cart.,35,NA
Roti [per plate],Veg Item,Whole wheat Tawa roti Swipe right to add item to cart.,20,NA
Tea,Veg Item,A refreshing and aromatic blend of flavors to satisfy your thirst. Swipe right to add item to cart.,25,3.5
Coffee,Veg Item,A smooth and rich infusion that perfectly captures the enticing aroma and robust flavor of freshly brewed coffee—perfect for coffee enthusiasts and those seeking a delightful and invigorating drink. Swipe right to add item to cart.,60,3.8
Filter coffee,Veg Item,Authentic South indian aroma and taste Swipe right to add item to cart.,70,NA
